transaction_id,timestamp,sender,receiver,location,country,amount,type,channel,is_international,risk_score
1,2025-06-25 08:32:30,8dac9601-a7c6-411a-90e8-dba0c56f3dfe,4088eb58-4e26-423a-b469-cb90e025b50c,Warrenstad,Austria,1922.53,p2p,offline,1,0.16
2,2025-05-02 10:52:56,5c39466c-d1e8-4ea3-ad59-729b0886ec6c,abdb736b-166d-4222-aa4c-31d5763e0f33,West Tyler,France,4394.26,p2p,bank_app,1,0.92
3,2025-02-11 19:37:30,f98c74d2-bf9d-4b45-a7a1-653e8f93732e,b7525ec2-fecf-4738-9acc-cf9000ebb826,Mossshire,Portugal,951.12,others,bank_app,0,0.98
4,2025-02-21 19:44:03,abd0db16-da2a-4ddd-94ed-a97ca84659db,7f81fce7-3b27-44e4-8360-f5afec7be99f,Marystad,Portugal,2199.87,salary,mobile,0,0.1
5,2025-09-09 13:33:09,75aec53e-ea18-4053-9b21-5c21d2cb5653,7c751aed-7226-44e2-8615-712942a1dce0,New Michelle,Finland,3127.74,bills,offline,1,0.16
6,2025-11-05 23:30:29,a44ba1f9-48b1-45d7-a605-fdaacf92b07b,06984ace-d63c-462e-8b57-76f59800910c,Novakshire,France,65.48,bills,offline,0,0.75
7,2025-09-08 20:25:32,bfa7a964-f105-4af0-9a4d-6bf962a1bd47,0288f8ce-468c-47a7-afd0-1772739db999,Perezfurt,Austria,2558.37,p2p,offline,0,0.17
8,2025-07-10 09:08:44,806f79de-0cb7-49d6-9cf6-189f52db96ed,c74e1643-6996-4773-b63e-2fb1b4a3eed0,Rebeccamouth,Portugal,2283.29,bills,mobile,0,0.19
9,2025-05-12 03:55:42,bf919b4c-e16f-4093-90ff-4aea987280fe,39367b8d-f8e0-494a-804a-875ec5435511,Garyfort,Germany,3183.08,bills,bank_app,0,0.16
10,2025-09-30 09:51:58,0da727ae-9ff5-47a5-bc29-36142f9667a7,3737768b-6b72-48f1-b76c-bb5db5d81c1c,South Lisaville,Ireland,2543.19,salary,bank_app,1,0.31
11,2025-09-17 23:25:27,1611f922-81f5-47a9-a39a-b3bc33c26ef6,f1f9c440-eeeb-4d0a-98c8-8a73d9acd0b3,North Hayleybury,Netherlands,656.29,salary,mobile,0,0.02
12,2025-06-06 02:01:52,ceb4c642-18a9-4ad5-89a0-0ca831213cbc,e283aada-9d58-4674-8b9a-c2d1989eab44,Robinfurt,Netherlands,2737.87,bills,mobile,1,0.52
13,2025-04-04 01:14:21,d084a5a9-e5ef-4c14-a223-7d709fb8c0b8,f85a27f2-ba44-4832-9ea8-f3ebd2a667d1,Lake John,Ireland,2663.0,bills,mobile,0,0.32
14,2025-02-25 23:45:04,1c873ea0-8d46-4db2-bd2f-3b3f0f7cc507,8d0986d6-50a6-4e03-ae0e-921b0ec6c16d,Jesseview,Finland,3391.23,merchant,web,0,0.06
15,2025-10-27 00:42:58,2bce6760-4f47-43c2-87d4-4682a2642404,bc38c37c-55de-400d-9a96-9ab9b5604cc1,Pughmouth,Portugal,3319.28,bills,web,1,0.71
16,2025-04-30 05:48:16,05890ced-e714-4d98-8f0e-7ca13987615c,95a367e3-d702-44c4-9ac8-f1b114c8fb9b,East Shelialand,Portugal,4003.93,merchant,web,1,0.71
17,2025-08-16 14:35:41,d1cfc738-8b21-4777-a8e8-fa72baabfce3,28853b76-431a-4cd2-9b52-d18dedb68309,Hartland,Germany,2698.03,bills,offline,0,0.01
18,2025-02-02 10:59:30,c8276e4b-4471-4097-a7ea-844ff538fe90,db4d4012-fec4-4bc4-8fe2-3053500cf4ad,Maryland,Italy,2465.21,others,web,1,0.09
19,2025-05-29 05:46:33,db68aa12-48c9-49d7-9db9-93a382686ffc,aa4ed008-bcfe-431d-b5a6-ec25e9461f2c,North Stephanie,Finland,3382.47,bills,offline,1,0.99
20,2025-04-16 21:59:07,09d24413-af43-490d-98e0-1bd67a339abf,9abb5675-6373-4892-8a8b-2bc841c8802f,Youngview,Netherlands,3510.31,salary,bank_app,0,0.69
21,2025-06-16 06:38:40,5402e409-d5d8-4ebf-bc7f-38f7cfe72d1e,00d23c87-25f2-4d8b-b9b3-7a24fecfca74,Lake Gloria,Netherlands,625.64,others,offline,0,0.42
22,2025-02-24 02:47:35,af5adb7d-0ddd-4308-967b-1b089dd9fd2d,ca6d24d1-be43-424c-ae1d-3101cd74f112,Smithfurt,Belgium,3993.73,p2p,offline,0,0.86
23,2025-07-05 01:43:49,34bd7d75-3f11-4534-aea4-6299f6a3cbb7,580eb793-9029-4f5f-b064-e498a3ab57d6,Douglaston,Spain,3363.54,merchant,mobile,0,0.22
24,2025-04-11 11:11:40,05ed0b8c-0a35-4ca4-a397-2d614e7e3544,d5b5c8fc-d3bb-4e8c-aa0d-3e4b69f96347,Lake Jamesside,Italy,4906.89,salary,web,1,0.25
25,2025-01-01 14:09:32,911797fc-883b-48eb-9a1b-02d99f528320,339eb69d-15d6-4e01-b972-3e29f58eac20,Port Angelaview,Austria,1930.66,merchant,offline,0,0.61
26,2025-04-10 13:41:55,6e42c0cb-d9d1-46f7-a5ec-0d9d7416837c,1255a7f9-9617-4a1b-b604-0663f2c03dc9,South Christopher,Germany,4146.52,bills,web,0,0.8
27,2025-04-14 05:39:57,c6938747-75b0-405d-bf42-014c6f8470b2,e3b77bae-cbe7-4d36-879a-50906e254fd6,South Kristen,Belgium,2023.38,bills,offline,0,0.33
28,2025-08-27 07:38:30,4ce2110b-7e84-457e-9d07-b2ccb25cc27b,f0bd8da1-b3d0-4185-b257-e31ac78fe314,Manningmouth,Belgium,3347.8,merchant,offline,0,0.77
29,2025-03-14 14:13:38,60aa0740-99c2-41a0-ab14-5c9fb16bd975,076ff3b4-1673-4a40-92f3-a203003358a2,East Catherine,Austria,4515.06,p2p,offline,1,0.1
30,2025-04-24 15:11:00,51766767-f07a-47af-907c-b3cd908b9aad,19a03428-a7db-4724-8b81-8c8979164976,North Anitabury,Belgium,835.04,merchant,mobile,1,0.58
